smiles,property
CCC/C=C(\CCC)[C@@H](NP(=O)(c1ccccc1)c1ccccc1)c1ccc(C(F)(F)F)cc1,1.0
CCC/C=C(\CCC)[C@@H](NP(=O)(c1ccccc1)c1ccccc1)c1ccccc1,1.0
CCC=CC(CCC)[C@@H](NC(=O)c1ccccc1)c1ccc(C(=O)OC)cc1,1.0
CCC=CC(CCC)[C@@H](NC(=O)c1cccs1)c1ccc(C(=O)OC)cc1,1.0
CCC/C=C(\CCC)[C@@H](NC(=O)c1cccs1)c1ccc(C(F)(F)F)cc1,1.0
CCC/C=C(\CCC)[C@@H](NC(=O)CCc1ccccc1)c1ccc(C(F)(F)F)cc1,1.0
CCC/C=C(\CCC)[C@@H](NC(=O)c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,0.0
CCC/C=C(\CCC)[C@@H](NC(=O)c1ccccc1)c1ccccc1,1.0
CCC/C=C(\CCC)[C@@H](NC(=O)c1ccc(C(F)(F)F)cc1)c1ccccc1,1.0
CCC=CC(CCC)[C@@H](NC(=O)c1ccco1)c1ccc(C(=O)OC)cc1,1.0
CCC=CC(CCC)[C@@H](NC(=O)C(C)(C)C)c1ccc(C(=O)OC)cc1,1.0
CCC=CC(CCC)[C@@H](NC(=O)c1ccc(-c2ccccc2)cc1)c1ccc(C(=O)OC)cc1,0.0
C=C(CCCC)[C@@H](NC(=O)c1ccccc1)c1ccccc1,1.0
C=C(CCCC)[C@@H](NC(=O)c1ccc(-c2ccccc2)cc1)c1ccccc1,0.0
C=C(CCCC)[C@@H](NC(=O)C(C)(C)C)c1ccccc1,0.0
C=C(CCCC)[C@@H](NC(=O)c1ccc(C(F)(F)F)cc1)c1ccccc1,0.0
C=C(CCCC)[C@@H](NC(=O)c1ccc(C(=O)OC)cc1)c1ccccc1,0.0
C=C(CCCC)[C@@H](NC(=O)c1ccco1)c1ccccc1,0.0
C=C(CCCC)[C@@H](NC(=O)c1cccs1)c1ccccc1,0.0
CCC=CC(CCC)[C@@H](NC(=O)c1ccc(C(=O)OC)cc1)c1ccc(C(=O)OC)cc1,0.0
CCC=CC(CCC)[C@@H](NC(=O)Cc1ccccc1)c1ccc(C(=O)OC)cc1,0.0
CCCCCC/C=C(\C)[C@@H](NC(=O)c1cccnc1)c1ccc(-c2ccccc2)cc1,0.0
CCC/C=C(\CCC)[C@@H](NC(=O)CC(C)C)c1ccccc1,1.0
C=C(CCC)[C@@H](NC(=O)c1ccccc1Cl)c1ccccc1,1.0
CCC/C=C(\CCC)[C@@H](NS(=O)(=O)c1cccc2cccnc12)c1ccc(C(=O)OC)cc1,0.0
CCC/C=C(\CCC)[C@@H](NS(=O)(=O)c1ccccc1Cl)c1ccc(C(=O)OC)cc1,1.0
CCC/C=C(\CCC)[C@@H](NS(=O)(=O)c1ccc(C(F)(F)F)cc1)c1ccc(C(=O)OC)cc1,1.0
CCC/C=C(\CCC)[C@@H](NS(=O)(=O)c1ccccc1)c1ccc(C(F)(F)F)cc1,1.0
CCC/C=C(\CCC)[C@@H](NS(=O)(=O)c1cccc2cccnc12)c1ccc(-c2ccccc2)cc1,1.0
CCC/C=C(\CCC)[C@@H](NS(=O)(=O)c1ccc(C(F)(F)F)cc1)c1ccc(-c2ccccc2)cc1,0.0
CCC/C=C(\CCC)[C@@H](NS(=O)(=O)c1ccc(C(Cl)(Cl)Cl)cc1)c1ccccc1,1.0
CCC/C=C(\CCC)[C@@H](NS(=O)(=O)c1ccc(C(F)(F)F)cc1)c1ccccc1,1.0
CCC/C=C(\CCC)[C@@H](NS(C)(=O)=O)c1ccccc1,0.0
CCC/C=C(\CCC)[C@@H](NS(=O)(=O)c1cccs1)c1ccc(C(=O)OC)cc1,1.0
CCC/C=C(\CCC)[C@@H](NS(=O)(=O)c1ccc(-c2ccccc2)cc1)c1ccc(C(=O)OC)cc1,0.0
CCCC[C@@H]1C[C@H]1[C@H](NC(=O)c1ccco1)c1ccc(C(=O)OC)cc1,1.0
CCCC[C@@H]1C[C@H]1[C@@H](NC(=O)c1ccco1)c1ccccc1,1.0
CCCC[C@@H]1C[C@H]1[C@@H](NC(=O)Cc1ccccc1)c1ccc(-c2ccccc2)cc1,0.0
CCCC[C@@H]1C[C@H]1[C@@H](NC(=O)c1ccco1)c1ccc(-c2ccccc2)cc1,0.0
CCCC[C@@H]1C[C@H]1[C@H](NC(=O)c1cccs1)c1ccc(C(F)(F)F)cc1,1.0
CCCC[C@@H]1C[C@H]1[C@@H](NC(=O)c1ccccc1)c1ccc(C(=O)OC)cc1,1.0
CCCC[C@@H]1C[C@H]1[C@@H](NC(=O)c1cccs1)c1ccc(-c2ccccc2)cc1,0.0
CCCC[C@@H]1C[C@H]1[C@@H](NC(=O)c1cccnc1)c1ccc(-c2ccccc2)cc1,0.0
CCCC[C@@H]1C[C@H]1[C@@H](NC(=O)C(C)(C)C)c1ccc(C(F)(F)F)cc1,0.0
CCCC[C@@H]1C[C@H]1[C@@H](NC(=O)c1ccc(C(F)(F)F)cc1)c1ccc(C(=O)OC)cc1,0.0
CCC[C@@H]1C[C@@]1(CCC)[C@@H](NC(=O)c1ccco1)c1ccc(C(Cl)(Cl)Cl)cc1,1.0
CCCC[C@@H]1C[C@H]1[C@@H](NC(=O)c1ccccc1)c1ccc(C(F)(F)F)cc1,0.0
CCCC[C@@H]1C[C@H]1[C@@H](NC(=O)c1ccco1)c1ccc(C(F)(F)F)cc1,0.0
CCCC[C@@H]1C[C@H]1[C@@H](NS(=O)(=O)c1cccc2cccnc12)c1ccc(-c2ccccc2)cc1,1.0
CCC[C@@H]1C[C@@]1(CCC)[C@@H](NS(=O)(=O)c1cccc2cccnc12)c1ccc(-c2ccccc2)cc1,1.0
CCC[C@@H]1C[C@@]1(CCC)[C@@H](NP(=O)(c1ccccc1)c1ccccc1)c1ccc(Cl)cc1,0.0
CCC/C=C(\CCC)[C@@H](NP(=O)(c1ccccc1)c1ccccc1)c1ccc(-c2ccccc2)cc1,0.0
CCC[C@@H]1C[C@@]1(CCC)[C@@H](NC(=O)Cc1ccccc1)c1ccc(-c2ccccc2)cc1,0.0
CCCC[C@@H]1C[C@H]1[C@@H](NC(=O)c1ccc(-c2ccccc2)cc1)c1ccc(-c2ccccc2)cc1,0.0
CCCC[C@@H]1C[C@H]1[C@@H](NC(=O)c1ccccc1)c1ccc(-c2ccccc2)cc1,1.0
CCCC[C@@H]1C[C@@]1(C)[C@@H](NS(=O)(=O)c1cccc2cccnc12)c1ccc(-c2ccccc2)cc1,0.0
CCCCCC/C=C(\C)[C@@H](NC(=O)c1ccc(C(F)(F)F)cc1)c1ccc(-c2ccccc2)cc1,0.0
